Date,Close
1791,1
1792,1
1794,1
1797,2
1804,1
1807,1
1808,2
1810,1
1811,1
1814,1
1825,1
1828,1
1830,1
1834,1
1837,6
1838,1
1839,9
1840,1
1841,5
1842,1
1843,1
1844,2
1845,2
1847,4
1848,2
1849,1
1850,6
1851,3
1852,4
1854,6
1855,11
1856,3
1857,12
1858,10
1859,9
1860,7
1861,8
1862,5
1863,6
1864,14
1865,14
1866,17
1867,18
1868,17
1869,30
1870,17
1871,29
1872,25
1873,22
1874,27
1875,25
1876,26
1877,29
1878,49
1879,28
1880,34
1881,49
1882,40
1883,42
1884,42
1885,57
1886,40
1887,34
1888,56
1889,44
1890,58
1891,53
1892,73
1893,68
1894,63
1895,68
1896,54
1897,43
1898,83
1899,78
1900,78
1901,84
1902,100
1903,90
1904,74
1905,72
1906,79
1907,100
1908,112
1909,89
1910,110
1911,138
1912,116
1913,121
1914,113
1915,139
1916,133
1917,137
1918,143
1919,198
1920,189
1921,226
1922,210
1923,188
1924,208
1925,190
1926,197
1927,208
1928,180
1929,173
1930,210
1931,201
1932,195
1933,171
1934,152
1935,132
1936,107
1937,101
1938,93
1939,71
1940,66
1941,77
1942,55
1943,52
1944,50
1945,59
1946,73
1947,75
1948,65
1949,55
1950,56
1951,54
1952,60
1953,59
1954,67
1955,44
1956,39
1957,58
1958,46
1959,47
1960,51
1961,60
1962,59
1963,62
1964,62
1965,63
1966,64
1967,85
1968,76
1969,105
1970,113
1971,144
1972,122
1973,145
1974,138
1975,146
1976,105
1977,99
1978,101
1979,115
1980,104
1981,94
1982,95
1983,81
1984,75
1985,75
1986,80
1987,77
1988,83
1989,69
1990,60
1991,74
1992,66
1993,79
1994,88
1995,71
1996,64
1997,72
1998,70
1999,48
2000,55
2001,67
2002,61
2003,51
2004,59
2005,57
2006,53
2007,70
2008,43
2009,52
2010,62
2011,70
2012,54
2013,38
2014,54
2015,45
2016,75
2017,50
2018,59
2019,56
2020,50
2021,67
2022,38
